"","lorenz","rossler","henon","Experimental_data_periodic","Experimental_data_quasi.periodic.2","Experimental_data_quasi.periodic.3","Experimental_data_chaotic"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",4.28596540976622e-06,0.000320473702037889,0.0033716336115458,2.84895252425722e-07,5.1794170793929e-07,4.537917473177e-06,1.07341802598688e-06
"8",3.54673857061001e-06,0.00030475749196623,0.00422870987945047,2.3030693689087e-07,7.26911573729244e-07,6.04162908285133e-06,1.14239499343708e-06
"9",3.00707902663209e-06,0.000285963514207524,0.00419704013595593,2.03454065802316e-07,9.60518213299274e-07,5.21728056505973e-06,1.16335293346461e-06
"10",2.62110181167235e-06,0.000262903359380966,0.0042243108035368,2.03429240520843e-07,1.24010269570292e-06,6.70357186366896e-06,1.15100126055038e-06
"11",2.35525416165939e-06,0.000235761611519848,0.00470983755125548,2.09247421702899e-07,1.50819035691416e-06,1.09373415064272e-05,1.1923186915741e-06
"12",2.18564993022309e-06,0.000205367120419105,0.00527871079096329,2.1431710837219e-07,1.80229933400133e-06,1.44119969124774e-05,1.19177449718148e-06
"13",2.09599445762003e-06,0.000172875628951523,0.00486633100520195,2.08955516326702e-07,2.10451329637707e-06,1.69376117131822e-05,1.09280922230736e-06
"14",2.07592198359683e-06,0.000139619570486269,0.0042889568022405,1.80113681868192e-07,2.37039804140516e-06,1.70217664747662e-05,1.05188605513555e-06
"15",2.11992725022469e-06,0.000107021882941298,0.00396768055394606,1.51675451136201e-07,2.63558907911189e-06,1.54044233382864e-05,1.04745279873018e-06
"16",2.22647767662656e-06,7.65285811700495e-05,0.00688854452867291,1.20634755429501e-07,2.74546094003036e-06,1.27656217080386e-05,1.01338106404725e-06
"17",2.39753747995612e-06,4.95471096438406e-05,0.0069641879857726,8.88465103012258e-08,2.72119222494436e-06,8.70661410558838e-06,1.00099646495803e-06
"18",2.63828805333347e-06,2.73881706707961e-05,0.00509131020688377,6.10033863378184e-08,2.64986105333559e-06,6.35395613749596e-06,9.37884849925211e-07
"19",2.95702156643606e-06,1.99460027297802e-05,0.00372852704637567,4.34401990197724e-08,2.46972018648253e-06,4.89100247231894e-06,8.91273219492364e-07
"20",3.36532973273652e-06,1.19403651794158e-05,0.00324477923362614,3.40657122874134e-08,2.35595411228658e-06,4.53827035584857e-06,7.81654402414209e-07
"21",3.87832862348928e-06,1.0715515058098e-05,0.00257666128977402,2.54982126493181e-08,2.21291491612818e-06,5.57087655308713e-06,6.44736562290481e-07
"22",4.51521452818431e-06,1.67355485729214e-05,0.00179297236201514,2.23057195762035e-08,2.21261927741718e-06,6.87607190388201e-06,5.77751475835497e-07
"23",5.2998729149782e-06,2.81301548589008e-05,0.00306741938830565,3.11197782613439e-08,2.1787633962683e-06,9.05242245193837e-06,4.88814230919659e-07
"24",6.26171591039731e-06,4.39119469409082e-05,0.00284893923117507,3.73281611593746e-08,2.14461761428129e-06,9.99588126389384e-06,4.02552808832766e-07
"25",7.4368389966455e-06,7.38343325819774e-05,0.00281987689337781,5.68552280366416e-08,2.1342012934944e-06,7.53862426562845e-06,2.82074442490308e-07
"26",8.86926262387854e-06,0.000110288111043177,0.00284973981294937,8.51804519655081e-08,2.12499594566266e-06,6.18495865697873e-06,2.01128280731001e-07
"27",1.06126011477591e-05,0.00015212496708118,0.00315055626526011,1.22473544716788e-07,2.12151050493953e-06,8.04349159212579e-06,1.73223470780582e-07
"28",1.27320032886559e-05,0.000197945542033029,0.00420094010015132,1.9431852807359e-07,2.05307165094268e-06,7.36249315945986e-06,7.87224129780152e-08
"29",1.53064463918089e-05,0.000246148738446351,0.00343169964617675,2.69043567249314e-07,2.06907935442896e-06,9.83728121795034e-06,7.95223438333189e-08
