"","lorenz","rossler","henon","Experimental_data_periodic","Experimental_data_quasi.periodic.2","Experimental_data_quasi.periodic.3","Experimental_data_chaotic"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",0.0123622095471445,0.107501941369068,0.09517006049835,0.00318219252446694,0.00429619287814242,0.0131261633468962,0.00623860358933415
"8",0.0112463140712106,0.104941640158066,0.0881228019689927,0.00281336051515091,0.00510728728405241,0.00913690859153815,0.00638134258498291
"9",0.0103565048886519,0.101697464143178,0.0809184812622831,0.00265303675622763,0.00591580557814486,0.00707476468327461,0.00643577694773045
"10",0.00967045271025557,0.0975287081564901,0.0812222608479701,0.00266786619990689,0.00669390335182074,0.00868971798103302,0.00650987936417802
"11",0.00916863060844608,0.0923662293568261,0.0890359440043255,0.00275993419615805,0.00738374129453978,0.0139447396775624,0.00658142806978068
"12",0.00883425353466138,0.0862131997218674,0.0970207549085562,0.00284051049360701,0.00804947579103843,0.0207451372518107,0.00652166227562001
"13",0.00865316183429665,0.0791054966488886,0.0900620608633792,0.0027803638829168,0.0086980287417644,0.0253099401890901,0.0063304699768354
"14",0.00861366443989475,0.0710967413453412,0.0880914361275466,0.00256296244651177,0.0092781467220413,0.0259394971152858,0.00614770044364354
"15",0.00870646942813591,0.0622528957143308,0.0806176093228047,0.00231867984331824,0.00977549310958015,0.0225196526754332,0.00606405521298548
"16",0.00892448689128,0.0526500513786468,0.108628000166144,0.00206590727161415,0.0100345155525629,0.0158742698296682,0.00602949051268897
"17",0.00926274381347092,0.0423732267485507,0.110300635967637,0.00180509275084473,0.00998875036610414,0.00999280494209576,0.00601535549915322
"18",0.0097182743059725,0.0315155941882322,0.0996084614690974,0.00151900993329424,0.0097640686136935,0.00798599143547196,0.00591802327440527
"19",0.0102899986419189,0.0203063694068991,0.0907941268790263,0.00116106479652833,0.0094236634382574,0.00915344050911371,0.00569782171645983
"20",0.0109786896548553,0.0119692046485947,0.0902728114511009,0.000730854123045077,0.00913717740320441,0.0100239422936264,0.00527587700176313
"21",0.0117868652140711,0.0106292277663085,0.0844693691501341,0.000479044793149419,0.00892716828766649,0.00822940040074605,0.00482306374720443
"22",0.0127187837444048,0.0165092455510673,0.0844673306616527,0.000479044793149419,0.00890375927158782,0.00836754719706867,0.00450608998881896
"23",0.013780406144592,0.0277343190203195,0.0820231829723469,0.000719272820353223,0.00885882292110629,0.0112782847389126,0.00419995830103759
"24",0.0149793733862923,0.0398120362189488,0.0739450500654334,0.00107488825599844,0.00880922716838151,0.0158654886485158,0.00386172601991652
"25",0.0163250333952571,0.0516378544837943,0.0764007006540277,0.00141571904990834,0.00876706853846809,0.0178029487448229,0.0032966390920699
"26",0.0178284410513279,0.0631215538988198,0.076400700654028,0.00173060951786752,0.00872394666674381,0.0155417273955148,0.00251204503642022
"27",0.0195023895497993,0.0741423080995055,0.0825844442621402,0.00209552135702618,0.00871400063503192,0.0103008631134962,0.00157438513687902
"28",0.0213614529632642,0.0845821266844247,0.0989987506843317,0.00260523308128735,0.00865239796114059,0.00823477663410355,0.000821510858039609
"29",0.0234220332836598,0.0943270648677543,0.0923935327819428,0.00311610965611042,0.00862392632531661,0.0110282898877749,0.000592102500469038
"30",0.0257023581821648,0.103268377129347,0.0782675983595442,0.00364170366975047,0.00841626931187223,0.0182999143158337,0.000829866420716474
"31",0.0282225258111496,0.111303794070155,0.0814919954359179,0.00414140215938363,0.00813614515296079,0.0257026292339317,0.00139486374467512
"32",0.0310044286408667,0.11833855733715,0.102069029071117,0.00459818038604332,0.00778308342816236,0.0299035059748346,0.00188410098023251
"33",0.0340716683357549,0.124286517270969,0.102069029071117,0.00496414507090071,0.00747558528106973,0.0302018645252187,0.00232945471100754
